title,apply_status,education_category,edu_date,capacity,fee,edu_content,apply_start,apply_end
디지털 사진편집가,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['기억에 남는 사진을 재창조하는, 디지털 사진편집가']",2021-11-24 , 2024-12-31
여가 컨설턴트,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['여가문화를 선도하는, 여가 컨설턴트']",2021-11-24 , 2024-12-31
은퇴설계 컨설턴트,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['품위 있는 삶으로 설계해 주는, 은퇴설계 컨설턴트']",2021-11-24 , 2024-12-31
다문화가정 상담사,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['다른 환경-같은 공간, 가족의 이야기를 들어주는 다문화가정 상담사']",2021-11-24 , 2024-12-31
SNS활용능력 지도사,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,['엄지로 세상을 만드는 전문가 SNS활용능력 지도사'],2021-11-24 , 2024-12-31
채용 지원서류 작성법 교육,접수진행중,소양교육,교육승인일로 부터    21일,100,무료,"['1강 시니어 일자리의 개념', '2강 노인일자리 및 사회활동 지원사업 지원하기', '3강 신중년 일자리 지원하기', '4강 서울시 일자리 지원하기', '5강 기타 사회서비스 일자리 및 민간부문 일자리 지원하기']",2021-08-06 , 2024-12-31
바리스타2급 온라인이론,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['1강_커피의 기초', '2강_커피 생산국과 특성', '3강_로스팅 기초의 이해', '4강_추출의 정의와 과정', '5강_에스프레소 도구 소개', '6강_에스프레소 추출', '7강_우유스티밍', '8강_핫음료 제조', '9강_아이스음료 제조', '10강_장비청소법']",2021-05-28 , 2024-12-31
직장 내 의사소통법 교육,접수진행중,소양교육,교육승인일로 부터    21일,100,무료,"['1강 의사소통의 개념', '2강 사람의 유형 및 특성', '3강 별 문제없는 직장생활① - 의사소통 기법', '4강 별 문제없는 직장생활② - 올바른 감정 전달법', '5강 슬기로운 직장생활을 위한 TIP']",2021-04-22 , 2024-12-31
슬기로운 노무생활,접수진행중,소양교육,교육승인일로 부터    21일,100,무료,"['1강 임금체불, 어떻게 할까요?\t', '2강 부당해고, 어떻게 할까요?\t', '3강 산업재해, 어떻게 할까요?\t']",2021-03-29 , 2024-12-31
도보배달원 훈련,접수진행중,직업교육,교육승인일로 부터    21일,100,무료,"['1강 도보배달의 이해\t', '2강 도보배달원 실습 1\t', '3강 도보배달 실습 ', '4강 서비스마인드 ', '5강 서비스 마인드 ']",2021-03-29 , 2024-12-31
웨딩쇼퍼 훈련(NEW),접수진행중,직업교육,교육승인일로 부터    21일,100,무료,"['1강 웨딩쇼퍼의 이해', '2강 웨딩쇼퍼의 의무와 스타일\t', '3강 웨딩쇼퍼의 실제 1\t', '4강 웨딩쇼퍼의 실제 2\t', '5강 서비스 마인드\t', '6강 영상으로 보는 현장실습(NEW)']",2021-03-29 , 2024-12-31
