,Educational Center Name,Purpose of Education,Education Start Date,Education End Date,Education Time,Attendance Qualification,Classroom Information,Education Amount,Material Amount,Capacity,Recruitment Start Date,Recruitment End Date,Age Eligibility,Sex Eligibility,Education Status,Education Sequence
22,【3월 온라인 청년 2030(신입) 취업교육】 “최종 합격으로 가는 이기는 면접(공기업/사기업 면접편)!” 3.21(화),,2023-03-21,2023-03-21,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),190,2023-02-06,2023-03-21,20세 ~ 39세,성별 제한없음,교육마감,1000002538
23,[4050세대 취업기본교육] 2.23(목) “교토삼굴(狡兎三窟) 이/전직 취업성공전략”,,2023-02-23,2023-02-23,13:30~16:30,목요일,유튜브 라이브방송,무료,(재료비 무료),100,2023-02-02,2023-02-23,40세 ~ 59세,성별 제한없음,교육마감,1000002535
24,[4060세대 취업특강] “나의 이해 및 취업전략 수립!” 11.29(화),,2022-11-29,2022-11-29,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),140,2022-10-31,2022-11-29,39세 ~ 69세,성별 제한없음,교육마감,1000002501
25,[2030 청년취업특강] 11.15(화) “NCS채용 및 공공기관 취업 성공 전략”,,2022-11-15,2022-11-15,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),140,2022-10-19,2022-11-15,20세 ~ 39세,성별 제한없음,교육마감,1000002491
26,[4060세대 심화교육] “중장년 4060 커리어 성공 노하우!” 11.1(화)~11.2(수),,2022-11-01,2022-11-02,13:30~16:30,"화요일,수요일",유튜브 라이브방송,무료,(재료비 무료),120,2022-09-30,2022-11-01,39세 ~ 69세,성별 제한없음,교육마감,1000002480
27,[청년2030취업심화교육] 10.18(화)~19(수) “단기 속성 취업 마스터”,,2022-10-18,2022-10-19,13:30~16:30,"화요일,수요일",*유튜브 라이브방송*,무료,(재료비 무료),120,2022-09-14,2022-10-18,20세 ~ 39세,성별 제한없음,교육마감,1000002473
28,"[2030 청년취업교육] 10.6(목) “나의 경력 분석, 취업 준비 노하우”",,2022-10-06,2022-10-06,13:30~16:30,목요일,*유튜브 라이브방송*,무료,(재료비 무료),120,2022-09-14,2022-10-06,20세 ~ 39세,성별 제한없음,교육마감,1000002472
29,[5060세대 취업교육] “5060 신중년 내일 찾기!” 10.4(화),,2022-10-04,2022-10-04,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),120,2022-09-14,2022-10-04,49세 ~ 69세,성별 제한없음,교육마감,1000002471
30,[청년2030취업심화교육] 9.21(수)~22(목) “심층 입사지원서 작성법 & 직무 및 기업분석”,,2022-09-21,2022-09-22,13:30~16:30,"수요일,목요일",*유튜브 라이브방송*,무료,(재료비 무료),130,2022-08-17,2022-09-21,20세 ~ 39세,성별 제한없음,교육마감,1000002451
31,[4050세대 취업교육] “정보력이 구직력이다!” 이/전직 전략 9.20(화),,2022-09-20,2022-09-20,13:30~16:30,화요일,* 유튜브 라이브방송 *,무료,(재료비 무료),120,2022-08-17,2022-09-20,40세 ~ 59세,성별 제한없음,교육마감,1000002450
